

DATA-start

THERMISTORS_START
THERMISTORS_POSIX_TIME_START: 1735991220
READING_NBR,THERMISTOR_ID,CELCIUS,
0,2935393797722341677,-7.19,
1,2910065340557820165,-7.12,
2,2902201770801365469,-5.62,
3,2893986434666987807,-5.69,
4,2918313179895300117,-5.19,
5,2935393797722341677,-7.19,
6,2910065340557820165,-7.12,
7,2902201770801365469,-5.62,
8,2893986434666987807,-5.69,
9,2918313179895300117,-5.19,
10,2935393797722341677,-7.19,
11,2910065340557820165,-7.12,
12,2902201770801365469,-5.62,
13,2893986434666987807,-5.62,
14,2918313179895300117,-5.19,
15,2935393797722341677,-7.19,
16,2910065340557820165,-7.12,
17,2902201770801365469,-5.62,
18,2893986434666987807,-5.62,
19,2918313179895300117,-5.19,
20,2935393797722341677,-7.12,
21,2910065340557820165,-7.06,
22,2902201770801365469,-5.62,
23,2893986434666987807,-5.62,
24,2918313179895300117,-5.19,
25,2935393797722341677,-7.12,
26,2910065340557820165,-7.06,
27,2902201770801365469,-5.56,
28,2893986434666987807,-5.62,
29,2918313179895300117,-5.12,
THERMISTORS_STOP

DATA-stop

