millis,stamp,datetime,ambient_temp,object_temp
8559998, 1737216005, "2025/1/18 16:0:5", 5.13, 0.81
8569998, 1737216015, "2025/1/18 16:0:15", 5.09, 0.77
8579999, 1737216025, "2025/1/18 16:0:25", 5.09, 0.79
8589999, 1737216035, "2025/1/18 16:0:35", 5.09, 0.83
8599999, 1737216045, "2025/1/18 16:0:45", 5.11, 0.85
8609999, 1737216055, "2025/1/18 16:0:55", 5.05, 0.85
8619999, 1737216065, "2025/1/18 16:1:5", 5.05, 0.75
8629999, 1737216075, "2025/1/18 16:1:15", 5.03, 0.81
8640000, 1737216085, "2025/1/18 16:1:25", 5.03, 0.91
8649999, 1737216095, "2025/1/18 16:1:35", 5.03, 0.81
8659999, 1737216105, "2025/1/18 16:1:45", 5.01, 0.81
8669999, 1737216115, "2025/1/18 16:1:55", 5.01, 0.85
8679999, 1737216125, "2025/1/18 16:2:5", 4.99, 0.81
8689999, 1737216135, "2025/1/18 16:2:15", 4.99, 0.79
8699999, 1737216145, "2025/1/18 16:2:25", 4.99, 0.91
8709999, 1737216155, "2025/1/18 16:2:35", 4.97, 0.75
8720001, 1737216165, "2025/1/18 16:2:45", 4.97, 0.81
8729999, 1737216175, "2025/1/18 16:2:55", 4.97, 0.89
8739999, 1737216185, "2025/1/18 16:3:5", 4.93, 0.85
8749999, 1737216195, "2025/1/18 16:3:15", 4.93, 0.69
8759999, 1737216205, "2025/1/18 16:3:25", 4.91, 0.69
8769999, 1737216215, "2025/1/18 16:3:35", 4.93, 0.87
8779999, 1737216225, "2025/1/18 16:3:45", 4.91, 0.71
8789999, 1737216235, "2025/1/18 16:3:55", 4.87, 0.85
8799998, 1737216245, "2025/1/18 16:4:5", 4.89, 0.67
8809999, 1737216255, "2025/1/18 16:4:15", 4.89, 0.79
8819999, 1737216265, "2025/1/18 16:4:25", 4.87, 0.83
8829999, 1737216275, "2025/1/18 16:4:35", 4.81, 0.73
8839999, 1737216285, "2025/1/18 16:4:45", 4.85, 0.71
8849999, 1737216295, "2025/1/18 16:4:55", 4.81, 0.65
8859999, 1737216305, "2025/1/18 16:5:5", 4.83, 0.79
8869999, 1737216315, "2025/1/18 16:5:15", 4.81, 0.63
8880000, 1737216325, "2025/1/18 16:5:25", 4.81, 0.67
8889999, 1737216335, "2025/1/18 16:5:35", 4.77, 0.77
8899999, 1737216345, "2025/1/18 16:5:45", 4.81, 0.79
8910000, 1737216355, "2025/1/18 16:5:55", 4.79, 0.77
8919999, 1737216365, "2025/1/18 16:6:5", 4.79, 0.67
8929999, 1737216375, "2025/1/18 16:6:15", 4.75, 0.69
8939999, 1737216385, "2025/1/18 16:6:25", 4.75, 0.67
8949999, 1737216395, "2025/1/18 16:6:35", 4.75, 0.79
8959998, 1737216405, "2025/1/18 16:6:45", 4.75, 0.83
8969999, 1737216415, "2025/1/18 16:6:55", 4.75, 0.65
8979999, 1737216425, "2025/1/18 16:7:5", 4.73, 0.79
8989999, 1737216435, "2025/1/18 16:7:15", 4.75, 0.75
8999999, 1737216445, "2025/1/18 16:7:25", 4.69, 0.67
9009999, 1737216455, "2025/1/18 16:7:35", 4.67, 0.65
9019999, 1737216465, "2025/1/18 16:7:45", 4.69, 0.63
9029999, 1737216475, "2025/1/18 16:7:55", 4.69, 0.73
9040000, 1737216485, "2025/1/18 16:8:5", 4.67, 0.87
9049999, 1737216495, "2025/1/18 16:8:15", 4.65, 0.81
9059999, 1737216505, "2025/1/18 16:8:25", 4.63, 0.65
9070000, 1737216515, "2025/1/18 16:8:35", 4.65, 0.81
9079999, 1737216525, "2025/1/18 16:8:45", 4.65, 0.81
9089999, 1737216535, "2025/1/18 16:8:55", 4.63, 0.69
9100000, 1737216545, "2025/1/18 16:9:5", 4.63, 0.77
9109999, 1737216555, "2025/1/18 16:9:15", 4.63, 0.81
9119998, 1737216565, "2025/1/18 16:9:25", 4.61, 0.71
9129999, 1737216575, "2025/1/18 16:9:35", 4.59, 0.69
9139999, 1737216585, "2025/1/18 16:9:45", 4.57, 0.77
9149999, 1737216595, "2025/1/18 16:9:55", 4.57, 0.63
9159999, 1737216605, "2025/1/18 16:10:5", 4.57, 0.73
9169999, 1737216615, "2025/1/18 16:10:15", 4.57, 0.91
9179999, 1737216625, "2025/1/18 16:10:25", 4.55, 0.87
9189999, 1737216635, "2025/1/18 16:10:35", 4.57, 0.79
9199998, 1737216645, "2025/1/18 16:10:45", 4.51, 0.71
9209999, 1737216655, "2025/1/18 16:10:55", 4.51, 0.71
9219999, 1737216665, "2025/1/18 16:11:5", 4.55, 0.91
9230000, 1737216675, "2025/1/18 16:11:15", 4.51, 0.75
9239999, 1737216685, "2025/1/18 16:11:25", 4.47, 0.79
9249999, 1737216695, "2025/1/18 16:11:35", 4.47, 0.83
9259999, 1737216705, "2025/1/18 16:11:45", 4.47, 0.81
9269998, 1737216715, "2025/1/18 16:11:55", 4.43, 0.77
9280000, 1737216725, "2025/1/18 16:12:5", 4.47, 0.75
9289999, 1737216735, "2025/1/18 16:12:15", 4.45, 0.73
9299998, 1737216745, "2025/1/18 16:12:25", 4.43, 0.79
9309999, 1737216755, "2025/1/18 16:12:35", 4.43, 0.81
9319999, 1737216765, "2025/1/18 16:12:45", 4.43, 0.65
9329999, 1737216775, "2025/1/18 16:12:55", 4.43, 0.87
9339999, 1737216785, "2025/1/18 16:13:5", 4.41, 0.75
9349999, 1737216795, "2025/1/18 16:13:15", 4.43, 0.81
9360001, 1737216805, "2025/1/18 16:13:25", 4.39, 0.75
